125

11 7
3 10 -19
8 0 23
5 9 8
4 10 -18
11 6 2
9 11 9
1 6 -2
1 11 -14
7 8 12
8 3 -4
1 5 -3
4 2 23
3 7 -11
0 2 9
2 1 -3
6 9 22
11 8 -9
9 6 10
8 5 -4
10 9 -1
0 11 2
8 6 16
10 3 -18
4 7 27
4 6 -12
6 1 0
4 0 19

16 24
7 6 6
2 8 3
6 8 -1
9 2 31
3 15 -20
12 5 -8
5 7 27
10 0 -6
2 11 9
1 9 20
6 4 17
0 12 -26
13 4 27
7 2 6
6 10 -32
11 13 -9
0 9 23
11 8 19
5 9 -8
12 1 28
14 8 4
14 4 -28
9 15 -24
1 5 -21

10 27
2 4 -16
5 0 -4
8 2 -3
1 8 -32
3 2 -23
3 6 30
1 5 -4
8 9 -26
8 4 -7
2 3 -6
0 3 -18
2 9 9
4 7 -23
7 2 22
5 8 -9
8 3 -29
0 1 -21
0 9 20
2 5 26
6 7 19
6 3 -2
5 3 -22
6 5 22
2 6 -26
9 1 -30
1 4 25
4 8 -22

9 23
3 2 -23
5 8 27
4 2 30
3 5 -31
6 3 25
2 0 -21
0 3 -30
5 6 -15
3 1 -9
5 2 -20
8 1 12
2 5 15
2 4 26
0 2 -6
6 1 -30
5 7 -6
8 6 10
5 0 10
0 1 10
8 3 25
7 4 -10
6 5 15
2 3 -14

2 1
0 1 17

25 4
18 11 22
8 7 -16
0 3 -6
3 11 -23

15 22
3 8 9
5 13 3
8 2 27
12 4 -9
8 14 -24
13 8 19
4 0 -4
4 1 16
8 7 21
8 6 14
9 8 -28
13 14 -29
7 2 -22
11 13 31
8 11 20
3 10 24
14 8 13
13 6 20
14 3 10
14 12 -28
6 13 -26
2 9 28

22 16
21 7 -30
21 6 5
1 8 -22
20 12 -24
3 7 12
19 14 -21
19 15 10
19 1 8
19 16 3
0 16 -3
11 2 -14
12 10 -1
21 16 -1
10 18 -7
19 5 -32
10 12 -13

30 17
15 0 -15
2 10 19
14 18 -2
23 0 -23
18 5 18
4 23 3
0 11 -27
17 14 -20
29 24 25
8 23 -13
19 14 -12
7 12 -25
10 18 12
3 5 24
20 1 -1
23 18 -1
0 20 -15

13 1
11 7 12

12 19
10 3 13
5 6 -12
4 8 -26
6 4 -9
2 3 -18
7 2 -22
10 7 12
0 11 -16
3 8 -11
9 3 8
4 3 15
7 0 -8
6 10 26
1 5 -25
4 5 -16
0 4 -15
10 4 -4
11 8 -8
8 9 -6

3 4
1 2 -14
2 0 -15
2 1 21
0 1 6

29 5
15 6 -2
23 1 24
26 5 -24
24 22 20
28 7 2

10 28
3 1 -19
9 6 -30
4 3 13
7 8 12
3 8 19
2 8 2
9 8 -21
6 4 6
2 5 7
2 4 -7
2 9 -24
5 3 -13
6 0 12
8 6 11
4 0 10
5 2 -7
7 9 -6
4 1 25
0 1 5
1 7 -24
0 5 -23
5 0 -31
9 3 30
7 3 27
6 3 -23
3 2 -25
7 4 4
8 5 23

6 3
1 4 -10
3 4 12
2 5 -19

29 2
9 22 -6
13 14 7

27 14
11 23 6
8 11 -15
17 1 -22
12 9 -13
13 18 29
7 0 10
14 11 -2
14 20 -8
18 14 2
26 0 -25
10 16 9
16 12 -4
26 2 -5
17 22 -1

24 15
23 1 8
13 14 -32
5 1 28
6 4 -14
18 1 25
13 19 6
9 13 28
18 7 -31
23 2 -17
0 8 31
3 1 -6
3 0 21
16 0 -2
11 6 -17
23 8 -20

11 8
10 7 5
4 2 -22
10 9 29
9 6 -9
5 6 19
3 1 24
4 0 -11
8 7 15

30 23
9 26 -30
23 6 -4
19 11 23
17 28 -25
29 4 -4
4 11 26
5 3 5
27 18 5
19 6 -25
0 4 -14
29 19 17
24 8 31
17 15 -14
0 14 9
10 28 6
21 7 -18
16 10 14
4 8 6
17 25 -26
24 3 24
19 3 -2
25 19 11
3 6 23

33 29
26 5 -4
10 26 -12
26 1 30
18 24 5
19 4 -30
11 32 -32
15 30 30
16 6 25
18 26 -28
16 23 20
14 2 0
30 16 12
17 8 -3
14 26 19
19 28 29
11 2 1
12 27 10
10 27 -6
17 22 16
20 16 -13
21 16 20
12 9 24
7 8 31
26 17 11
7 3 -8
1 24 20
6 19 -24
31 25 -16
2 8 5

16 13
12 8 -11
0 6 25
1 6 7
11 9 4
9 10 22
9 2 -18
4 14 27
7 3 30
4 3 3
13 4 -24
15 14 1
5 10 -26
12 14 7

3 2
0 2 23
0 1 -23

11 10
2 10 -23
4 7 -21
3 1 -2
8 10 30
5 4 10
2 1 -1
7 4 30
2 0 23
5 3 14
9 1 11

12 23
0 3 5
5 6 -15
9 2 -7
8 11 3
6 7 -22
9 5 -18
3 4 16
1 7 27
9 6 30
1 5 16
1 6 -2
5 10 9
10 3 5
9 1 -20
11 3 -30
5 4 -17
5 1 20
3 9 -24
6 4 19
1 3 3
5 11 -2
4 10 15
11 9 -31

8 29
1 7 28
5 6 -4
7 2 -20
3 0 -14
4 6 16
0 1 16
3 5 7
3 4 -28
2 4 -5
5 3 0
0 2 19
2 7 1
2 3 0
7 1 28
3 2 10
6 7 -28
7 0 12
7 4 20
5 1 -28
4 0 -9
4 3 -17
6 3 8
1 2 20
5 2 21
4 1 2
1 6 30
3 7 9
0 5 9
2 0 -15

4 7
0 3 -15
3 2 20
3 1 -12
1 3 3
0 2 19
3 0 21
2 0 3

28 26
6 27 -30
23 17 -9
26 20 -10
9 22 4
12 24 -32
22 13 -32
20 26 0
13 27 0
23 4 22
5 18 -27
7 3 -29
19 16 14
14 16 13
10 8 19
11 14 -12
5 25 -8
26 0 10
19 3 9
4 26 -29
17 8 27
17 3 17
17 27 -17
19 0 15
7 8 -14
16 5 -13
16 19 -14

24 10
13 17 -26
5 9 -3
4 9 7
16 18 -4
4 21 -16
21 5 -12
16 13 20
21 6 28
18 2 3
1 15 14

19 22
12 14 21
2 17 -6
1 15 -19
10 7 7
7 14 -23
12 9 -17
4 16 -32
0 17 22
1 8 -29
4 1 -24
11 16 7
17 16 -30
9 6 -9
1 18 12
10 2 -10
16 6 -5
8 0 -10
10 3 21
6 0 14
11 9 -22
5 7 -16
1 17 26

18 9
12 14 -11
9 14 -23
16 7 -15
0 13 -18
2 1 -21
11 17 -1
3 16 3
1 0 -4
5 9 3

2 1
1 0 -21

32 28
0 9 26
5 16 -22
9 0 -3
0 2 4
1 31 12
15 4 23
23 11 -11
16 21 -17
9 16 -8
2 14 -21
8 11 -4
1 8 -6
6 2 -2
0 10 12
2 23 -17
31 1 -16
30 0 -5
6 13 -13
27 19 10
12 3 -13
8 18 -10
2 9 -5
10 4 6
22 10 -2
25 21 -10
9 31 -21
22 5 0
20 2 -23

23 29
3 8 1
18 3 -9
5 16 -30
2 8 3
11 21 -21
17 8 27
4 2 10
15 16 0
5 18 17
20 17 30
2 3 -3
7 22 -8
22 12 -10
22 17 -16
2 4 -18
18 17 5
19 17 -32
14 16 31
20 4 26
7 11 -16
2 15 -12
4 17 -9
3 4 -3
12 14 3
11 20 -10
0 1 -5
3 15 1
9 5 -16
21 6 8

20 27
11 16 -25
8 16 17
10 0 -22
15 6 11
10 9 11
7 9 24
17 2 -26
17 15 21
1 0 -23
14 1 -21
1 5 4
15 9 -31
0 17 -27
13 7 -4
11 10 31
4 0 20
9 5 8
3 16 -16
12 17 -12
1 19 0
17 1 6
15 10 -27
8 18 9
18 13 -18
18 19 -31
1 13 28
9 13 -12

10 7
4 8 -6
9 4 -3
9 3 14
3 7 -19
2 6 -15
3 0 4
3 5 -23

4 2
1 3 -8
0 3 -18

31 7
30 19 -29
10 20 -23
11 4 1
24 11 13
28 24 -27
19 3 -28
28 25 27

30 2
7 22 22
27 19 -29

27 2
7 3 16
18 2 -12

21 23
4 14 25
6 4 -6
19 4 1
2 14 31
20 7 29
8 1 -24
18 15 3
17 11 -6
3 19 -11
8 7 19
2 5 8
8 2 25
4 6 -18
17 10 -9
9 12 -16
2 6 29
6 3 -15
8 15 -28
11 4 16
10 20 19
7 18 30
14 12 22
13 15 -29

12 19
2 3 -28
4 2 -25
10 5 -19
11 3 22
6 8 -13
0 2 -8
8 6 0
0 8 23
1 4 0
10 7 -6
9 0 12
7 1 -22
4 3 25
6 0 29
8 10 12
0 1 30
5 2 -27
5 6 9
6 9 -27

26 26
0 7 -16
12 23 14
20 24 31
2 17 17
15 17 -6
25 10 -32
6 9 1
24 4 -31
2 0 -11
18 14 -23
4 14 23
4 9 -3
3 22 9
16 4 -31
4 19 28
24 17 28
13 23 -8
17 2 31
16 0 -22
6 16 1
13 14 30
2 3 7
9 8 25
17 9 7
12 4 20
13 5 -8

31 4
26 14 0
10 9 21
28 8 -10
8 13 19

4 6
0 2 4
1 3 10
2 1 -5
1 2 -7
3 2 -14
3 1 9

14 26
12 8 19
6 2 3
6 10 5
8 3 3
8 5 29
4 2 6
11 2 -5
4 9 -16
8 6 21
8 0 -24
3 0 -4
1 9 -19
9 7 -18
12 11 -18
3 8 23
1 12 13
1 7 25
10 9 14
9 13 -5
6 7 -2
5 2 0
6 3 -30
3 5 -21
0 7 -23
0 12 -12
10 13 30

32 14
11 23 -25
8 10 25
27 28 30
11 21 -2
7 5 -28
30 22 31
29 24 24
15 24 -16
27 16 -24
4 9 5
26 27 -14
23 26 -31
11 5 9
8 9 20

4 6
1 3 27
3 1 -13
0 1 9
0 3 -12
3 0 -20
1 2 12

21 30
13 7 -19
12 0 21
12 6 -29
17 12 -29
20 14 28
1 7 -18
0 2 -25
16 13 -27
2 9 30
12 15 -28
6 1 -8
14 1 6
16 12 10
14 2 -6
5 10 20
8 3 0
4 17 23
17 2 -18
11 7 29
13 5 6
0 9 6
16 4 28
10 1 -19
7 14 -9
13 12 17
12 14 5
13 4 15
12 2 -29
5 13 12
0 5 -28

4 8
3 0 -24
0 3 -6
2 0 -29
3 2 26
0 2 -17
1 3 17
1 0 11
2 3 18

4 2
2 3 3
2 0 -5

6 3
1 4 12
5 3 -6
4 2 -28

33 4
10 3 -29
5 28 6
11 19 -9
28 4 -12

2 2
0 1 31
1 0 -7

9 1
5 3 -2

15 15
0 3 29
13 12 22
5 2 14
7 9 -17
14 0 -27
3 11 -20
1 9 2
12 1 19
3 10 27
9 0 4
6 9 -12
10 2 6
12 9 1
12 13 -13
14 1 15

11 16
6 9 11
3 10 -18
2 0 4
9 8 -25
6 8 12
3 2 -20
0 3 22
10 2 2
2 4 1
7 5 9
3 9 22
2 1 -9
5 6 -27
3 6 -2
10 1 27
1 2 11

15 11
6 5 -26
2 5 -27
4 14 8
12 2 31
0 12 3
13 5 -31
5 4 24
7 2 29
5 7 -14
4 12 1
4 2 19

31 3
23 0 -32
6 20 -9
0 28 -5

6 18
3 5 30
2 3 -3
4 1 -31
5 0 6
4 0 -24
5 1 23
5 4 -16
4 3 9
1 0 -1
1 5 26
0 3 -14
3 4 17
0 4 -28
4 5 8
1 3 30
5 2 20
3 0 5
0 1 21

21 29
2 19 -2
17 2 4
15 3 13
1 7 17
13 19 8
3 18 -18
10 18 -18
11 13 -17
13 0 5
10 16 0
9 6 6
13 20 -30
1 10 10
8 18 18
9 1 -12
20 18 -13
16 20 26
11 3 -22
7 18 -2
7 19 10
13 8 15
9 20 -1
13 18 24
2 12 -19
1 16 -11
15 11 3
7 20 -22
8 12 14
17 19 -10

22 32
18 10 8
4 11 -29
12 11 -30
14 18 -15
6 18 -17
19 17 21
3 5 -5
2 5 7
9 20 9
0 14 -13
3 12 11
2 18 -2
10 6 16
16 7 9
4 17 11
18 4 -22
1 6 0
15 1 23
6 19 -10
20 6 19
17 6 6
15 9 27
17 19 -25
15 13 25
8 15 -7
14 21 10
20 18 -7
12 18 -21
19 6 -8
7 18 27
18 6 -32
5 14 -9

11 11
5 7 -12
3 4 1
9 4 25
0 1 -20
10 7 2
6 8 21
9 6 6
9 1 -6
6 10 0
6 4 -6
0 9 13

15 15
2 5 20
0 7 -22
1 6 16
10 13 -20
8 1 -18
3 4 13
14 12 23
2 1 1
13 7 -31
1 4 8
4 8 9
11 9 -27
8 14 21
11 8 10
10 4 -26

3 4
0 1 12
2 1 6
1 0 -24
2 0 -24

12 25
6 10 10
2 6 -26
3 11 18
4 5 7
4 9 23
10 1 -11
0 8 11
9 6 25
10 0 7
11 3 -7
5 7 2
4 3 23
7 4 27
3 4 7
8 0 7
11 1 11
2 1 15
8 11 10
10 4 13
5 9 -20
1 9 -24
9 4 13
10 9 27
0 7 -30
8 6 5

8 18
1 0 17
7 2 -25
5 0 25
7 6 -9
2 5 12
6 2 -21
0 7 15
4 5 0
4 3 17
2 1 -29
7 3 13
6 5 -16
6 4 -1
4 7 10
5 1 -29
3 4 28
7 5 13
0 6 18

26 152
23 8 -30
17 25 3
21 13 -7
5 18 16
25 8 21
24 23 -2
4 25 -24
25 2 -15
19 23 -10
5 10 -21
6 0 -16
21 10 14
17 8 17
22 21 12
9 5 -31
2 20 -30
19 2 29
23 21 -10
5 17 26
8 3 -28
19 1 -19
19 18 28
5 4 -16
17 9 -32
11 12 -21
13 8 12
13 20 0
0 23 16
23 22 -29
25 19 31
24 6 -30
14 17 -23
0 2 0
10 13 28
16 25 -15
19 17 4
23 17 25
20 25 27
7 18 -13
24 22 -8
0 24 -32
24 13 -14
5 15 27
11 25 21
4 11 -6
13 24 -15
12 21 -6
19 12 -13
3 21 -11
24 2 9
12 5 -29
11 0 6
16 18 27
4 5 10
22 4 -16
6 7 -3
20 19 -28
10 7 -4
18 15 -27
2 9 -24
25 18 -26
25 7 -17
5 7 31
19 7 2
5 13 -12
13 12 -28
19 4 -9
8 11 -8
16 10 10
10 17 -19
24 1 6
12 24 20
17 6 -25
13 0 29
8 6 -19
11 19 -8
19 11 8
12 4 -23
15 25 21
14 6 -22
4 17 -15
5 9 -2
2 19 18
17 13 3
17 12 -8
3 4 12
24 12 -3
9 20 -16
14 16 -30
8 0 -32
0 8 27
16 4 -16
0 22 -17
9 16 2
0 20 -15
1 17 29
8 19 25
11 8 -1
11 18 23
17 10 -29
24 10 5
16 13 -31
8 1 31
6 19 -19
25 17 28
16 3 27
20 23 5
2 6 19
9 17 26
9 19 -18
20 17 -8
17 3 17
12 15 -17
15 13 6
3 8 12
21 23 24
6 16 18
0 19 4
17 14 6
18 3 27
19 25 12
4 22 -28
23 0 2
2 3 -22
11 4 31
9 24 -27
13 14 -13
6 17 -25
3 14 -6
18 21 4
23 20 -6
8 13 -14
18 19 -26
15 12 -14
5 22 25
24 8 24
8 22 0
11 14 -22
13 6 28
2 8 29
19 14 -10
6 25 -2
2 22 -19
16 12 22
0 13 -12
14 24 -6
9 3 -14
25 3 -12
5 16 -3
11 6 -15
2 25 -19
14 25 17

29 62
4 25 30
1 12 -28
15 11 25
1 24 -24
3 6 1
8 9 23
8 25 17
21 9 -7
22 18 -31
14 23 4
15 0 -4
2 16 4
14 6 12
4 14 28
20 4 15
0 5 -19
9 14 -24
1 23 -29
26 16 -9
27 20 23
1 4 25
25 26 -15
23 8 3
10 15 -32
16 19 14
7 17 -23
1 25 -31
21 0 -8
19 15 30
13 7 10
14 7 31
13 24 -32
16 21 -12
10 16 -32
9 3 -25
20 22 22
20 2 24
27 4 1
10 12 14
5 15 14
16 22 8
5 18 14
11 14 22
9 2 24
0 1 31
24 20 26
20 27 19
21 26 -21
21 1 17
9 27 0
14 20 8
13 23 19
25 5 -22
7 21 8
0 28 21
8 21 24
3 1 4
25 24 -5
2 10 -1
16 18 -11
4 24 -10
8 4 -29

62 61
36 33 4
6 30 -3
9 46 3
42 12 -16
57 3 9
1 21 -27
39 42 3
47 59 24
24 19 31
49 30 4
48 56 7
25 28 -23
26 19 -27
58 27 -16
29 35 4
32 12 31
13 56 -16
20 60 -12
33 6 0
7 58 -28
14 32 2
0 10 17
19 29 -11
14 52 -8
20 25 11
39 40 1
9 10 0
20 15 -10
10 34 -16
43 10 31
40 61 -10
20 52 19
35 38 11
49 12 -20
18 56 -26
42 36 -32
35 53 -30
13 14 -17
53 51 18
32 10 25
31 5 -3
1 16 28
60 17 26
10 41 5
45 43 19
6 56 -25
10 60 26
18 42 6
54 47 -24
35 55 -21
25 31 9
56 36 -6
6 37 9
19 12 -6
36 27 20
5 52 16
48 59 12
42 19 -17
58 5 11
34 50 -23
2 40 -8

38 92
30 1 -25
1 3 12
13 21 -30
33 28 -11
23 28 0
2 8 22
28 26 14
1 11 30
1 35 1
27 31 -14
13 0 -12
32 36 -9
13 35 4
22 31 23
0 16 -15
0 34 21
8 17 -16
24 35 25
18 0 -29
4 12 -17
18 17 -6
36 2 -29
30 36 2
0 30 11
27 8 -26
2 14 -28
3 20 12
6 7 14
22 2 -26
25 36 -7
9 18 0
7 9 -6
7 34 10
0 25 -20
3 19 31
9 25 -2
28 10 25
20 15 1
23 30 12
14 8 3
24 25 27
34 9 29
28 0 4
2 33 -24
28 27 3
27 1 -18
36 6 20
31 35 -29
19 18 9
10 15 -14
19 0 -6
7 21 31
6 13 -23
5 33 -24
26 19 -4
25 19 -28
25 6 -9
9 13 -28
26 28 -6
11 33 14
15 18 21
11 20 21
34 35 17
9 28 -16
3 36 -18
3 33 -31
31 6 -27
9 23 -18
11 27 -12
19 23 -11
29 28 -26
17 16 -13
5 22 30
32 25 12
4 16 -27
32 37 -9
8 28 -14
18 16 12
10 35 5
7 15 -22
5 17 -7
27 6 11
2 17 -26
1 21 17
5 36 -5
31 16 6
14 12 -18
8 32 20
16 29 -9
7 28 23
24 19 1
20 26 25

100 107
44 36 -4
94 51 -15
15 7 27
42 35 -4
54 81 -22
99 38 -12
56 22 9
75 54 -12
88 19 22
99 83 -24
11 14 -22
2 54 17
55 8 3
83 6 -7
18 40 -16
48 94 9
95 37 24
64 94 -2
52 27 -21
28 54 20
35 83 -4
61 19 -14
18 32 21
95 18 7
31 90 15
42 47 -26
13 94 24
81 41 -1
28 68 -27
39 89 30
56 57 -9
95 3 -5
15 26 22
80 57 1
61 93 -12
72 94 -2
84 0 -2
53 23 -21
14 61 21
96 61 21
44 11 30
67 76 -28
32 80 -16
75 4 -22
92 59 -2
13 97 -29
76 79 26
88 73 13
47 32 -7
33 66 26
91 65 -31
11 66 30
28 4 -5
27 41 -16
90 55 30
95 30 -27
26 94 -5
5 59 2
80 48 18
29 43 7
3 57 -3
17 82 4
38 59 -6
87 33 -24
79 65 -29
49 37 8
3 81 20
95 32 -4
77 50 12
6 22 18
87 48 19
48 18 28
21 24 -21
40 6 11
63 65 -2
8 5 3
66 93 -18
68 72 -21
46 56 -16
8 94 -24
47 29 6
78 87 -14
56 41 -1
18 17 -8
62 84 1
44 82 12
5 90 -23
53 13 14
52 0 -5
33 30 -32
43 90 -22
70 62 21
54 84 3
87 98 -11
74 92 -28
30 27 1
36 82 -1
63 69 -3
11 59 -14
43 34 -17
78 49 -31
47 66 -21
11 21 4
69 93 24
99 5 21
82 15 18
9 93 -9

81 5
41 34 -7
27 68 14
39 0 4
27 53 -13
55 60 -7

21 97
1 0 -26
13 0 -29
14 4 -1
18 6 -20
4 15 15
9 16 28
1 11 8
9 0 -22
13 5 -24
4 3 -27
4 9 19
7 3 8
19 16 18
19 3 18
17 1 -23
4 11 13
19 7 -9
12 6 29
20 14 -24
16 6 -15
20 12 -15
14 18 1
6 11 -6
0 10 9
7 18 10
15 17 17
5 14 -30
13 19 1
11 12 -16
7 4 -13
10 13 15
7 9 15
5 12 -17
0 19 28
14 5 -27
0 4 31
13 11 -21
12 20 1
4 0 25
8 9 16
8 6 31
2 18 -7
15 4 -25
11 8 10
1 6 27
3 12 3
5 10 10
2 3 23
5 6 15
3 7 -18
13 17 -14
2 4 28
10 15 31
18 11 -27
15 20 -4
9 1 14
0 12 21
20 15 1
12 3 2
15 19 -2
13 2 -9
3 1 -25
1 4 -11
16 4 -19
6 13 -5
17 16 14
16 14 -25
8 18 -24
13 7 23
9 2 10
15 6 -25
10 6 10
20 3 29
5 19 18
7 20 22
9 13 -2
0 20 -6
9 7 19
4 1 4
18 14 3
9 18 -10
3 14 17
1 7 5
4 19 -30
5 11 26
20 9 -3
10 18 -6
14 17 26
13 15 -4
5 0 -26
0 5 26
4 2 2
20 7 29
15 16 -5
4 7 -15
19 13 -6
2 1 -28

63 80
45 43 13
9 5 -8
60 28 16
20 15 -17
24 9 -24
16 35 21
31 48 26
53 11 31
0 33 29
7 8 13
32 2 -17
13 50 9
22 35 -8
42 36 -2
56 10 -30
37 46 -23
61 38 -6
57 5 -14
53 24 6
40 1 9
37 60 18
59 16 15
8 52 9
50 46 -2
36 48 -21
15 30 0
15 3 2
9 53 -3
14 46 24
8 10 19
1 15 13
17 49 13
13 53 1
13 26 12
10 26 -16
8 17 19
20 22 -28
19 27 7
0 18 24
51 15 15
54 1 9
30 2 -27
24 38 20
43 32 8
50 61 -5
53 4 -14
40 53 -1
58 28 -6
30 47 30
45 60 -25
54 4 30
16 32 -7
50 3 -3
59 39 19
49 34 -29
43 42 22
17 11 13
24 60 25
4 13 11
62 18 -22
1 48 11
51 60 29
24 35 28
55 2 -18
48 7 26
56 7 17
39 60 18
12 39 27
60 11 -22
36 46 -19
4 58 -26
5 59 6
21 51 -29
8 14 -1
13 45 -25
57 23 -21
26 54 11
15 61 5
23 19 -20
54 26 0

47 116
17 12 -9
31 20 -31
25 16 14
34 45 26
39 30 2
4 45 -9
14 35 28
41 3 4
21 37 10
11 31 -25
30 36 0
7 43 1
8 25 -31
13 38 22
31 6 -22
4 5 -13
37 25 -12
44 1 -25
1 6 -7
11 8 20
16 45 -1
26 30 15
40 36 -8
28 44 -29
27 19 -4
26 24 19
46 27 3
20 10 29
40 45 -6
18 33 -27
24 46 -20
1 4 -8
39 27 -10
30 38 0
5 29 2
14 25 26
15 7 7
20 33 25
15 23 10
11 16 7
33 3 -17
36 42 -30
37 20 7
3 30 20
12 19 -7
39 32 0
32 33 -13
36 43 -31
40 1 31
0 29 21
28 38 -11
28 11 20
27 41 16
11 19 11
14 43 31
40 3 -28
42 1 -27
35 24 15
25 36 30
6 8 -27
5 11 2
8 11 26
2 27 -5
10 32 16
40 5 -14
43 38 14
19 2 17
0 20 -25
31 10 -31
21 36 11
22 46 -26
27 34 28
0 35 0
24 22 30
45 22 -29
12 24 -31
2 23 8
11 3 -25
21 33 -24
20 1 -17
19 20 1
5 23 -25
18 29 -7
28 30 17
41 10 16
22 31 -21
21 43 31
22 41 -24
9 21 2
14 41 -9
0 11 -6
7 28 -19
25 27 17
3 0 3
24 25 -13
33 25 4
7 21 11
2 0 7
6 2 14
20 27 25
43 10 -10
44 18 -20
46 21 -5
